graph_slot,source_node_index,source_node_id,source_feature,target_node_index,target_node_id,target_feature,lag_5min_steps,raw_p_value,fdr_bh_q_value,parcorr_value
77,0,400593,flow,0,400593,flow,1,5.822397203448111e-12,2.719216856096848e-10,0.15357308521939475
77,0,400593,flow,0,400593,flow,2,3.096905725573667e-25,3.2393783860722135e-23,0.22979867817395633
77,0,400593,flow,0,400593,flow,3,7.371137811667049e-15,4.4165485917339327e-13,0.17327577091483337
77,0,400593,flow,0,400593,flow,4,2.1320630066211475e-19,1.6807503993801745e-17,0.20012255501650855
77,0,400593,flow,0,400593,flow,5,1.6927912231723866e-11,7.625503737335464e-10,0.15026067637728677
77,0,400593,flow,0,400593,flow,6,1.40743375029062e-07,4.021239286544629e-06,0.11778968165523442
77,0,400593,flow,0,400593,flow,7,1.0566882007175451e-09,4.0290317979698103e-08,0.13633977177611953
77,0,400593,flow,0,400593,flow,8,4.943689094914352e-07,1.2943476903048486e-05,0.11254816220314587
77,0,400593,flow,0,400593,flow,9,2.462067852987859e-09,9.015847747302658e-08,0.1333134580904168
77,0,400593,flow,0,400593,flow,10,0.004585109305000441,0.03782255527516117,0.06358725336946447
77,0,400593,flow,1,400125,flow,1,0.0005666303552539938,0.007001839630140884,0.07728374298165713
77,0,400593,flow,4,400316,flow,12,0.002456151654572991,0.023309699357986206,0.06792615338866899
77,0,400593,flow,5,400503,flow,2,0.0036752205140054423,0.031997083072356935,0.06515294459324077
77,0,400593,flow,5,400503,flow,5,0.0062350213462950875,0.048021558595105686,0.06135599795720373
77,0,400593,flow,7,408093,flow,3,0.000497639733381252,0.006280466398501341,0.07806425919743726
77,0,400593,flow,7,408093,flow,5,0.0012345682050548753,0.01332001659799466,0.07244675483190591
77,0,400593,flow,7,408093,flow,8,0.0012163172009194206,0.013155959709493984,0.07254191472262743
77,0,400593,flow,7,408093,flow,9,0.00033574588805568864,0.004494645913853656,0.08038863679642329
77,0,400593,flow,7,408093,flow,10,0.000980253210784214,0.011002446619219767,0.07390847874945314
77,0,400593,flow,10,400497,flow,4,0.00013667169338314056,0.00206513366706949,0.08548341187683152
77,0,400593,flow,11,405841,flow,4,0.005040130438765074,0.04073594667065504,0.06290749451528115
77,0,400593,flow,13,400183,flow,2,0.0023162184852420025,0.02228025797427177,0.06832173181475591
77,0,400593,flow,13,400183,flow,4,0.0020837355184384156,0.020435272280712725,0.0690300828979334
77,0,400593,flow,13,400183,flow,5,8.818658507261804e-05,0.0014073367104311411,0.08786954489305485
77,0,400593,flow,13,400183,flow,9,0.0047141255486957455,0.038650986900797143,0.0633885316283401
77,0,400593,flow,13,400183,flow,10,7.70762539542306e-05,0.0012503545515669403,0.08859112432727878
77,0,400593,flow,14,401469,flow,4,0.0010687008598256078,0.011813684018543054,0.073364031731767
77,0,400593,flow,14,401469,flow,5,0.0016853526851004473,0.01719991400811229,0.07043245716363908
77,0,400593,flow,14,401469,flow,11,0.0052432011593849795,0.04200784311673426,0.0626218776283307
77,0,400593,flow,17,400260,flow,1,0.00398686644333132,0.034011182928892776,0.06458058079552959
77,0,400593,flow,17,400260,flow,4,4.4071266014813156e-05,0.0007670744125060147,0.09153058066748895
77,0,400593,flow,17,400260,flow,5,0.0010650320845470328,0.011785191099495856,0.07338577220103447
77,0,400593,flow,17,400260,flow,10,0.00032621981836370535,0.004384784117396413,0.08055628891014868
77,0,400593,flow,17,400260,flow,11,0.0017815351190513511,0.01803663396836615,0.07006799669344839
77,0,400593,occupancy,0,400593,flow,1,4.568751210691446e-08,1.4027722267368193e-06,0.12229948623644368
77,0,400593,occupancy,0,400593,flow,3,2.804123084153553e-19,2.186608614358005e-17,-0.199516261628961
77,0,400593,occupancy,0,400593,flow,4,2.3066810913915866e-21,1.988994474014302e-19,-0.21069110612514338
77,0,400593,occupancy,0,400593,flow,9,0.0013392490518004325,0.01423260984939205,0.07192480218242728
77,0,400593,occupancy,2,400331,flow,2,0.004876742917774377,0.03967927587891063,0.06314494708932326
77,0,400593,occupancy,4,400316,flow,9,0.0014184223253618205,0.014959922962800451,0.07155445512867802
77,0,400593,occupancy,5,400503,flow,2,0.005285239181354603,0.042281913450836824,0.06256400203385012
77,0,400593,occupancy,7,408093,flow,9,0.0007498658953499015,0.00878914085752015,0.07557497907836706
77,0,400593,occupancy,8,401448,flow,9,0.003303939244514748,0.029368348840131096,-0.06589545546864606
77,0,400593,occupancy,10,400497,flow,4,0.003266060239784549,0.029133554069521474,0.06597542314058184
77,0,400593,occupancy,13,400183,flow,11,0.006197092997800709,0.04780614598303404,0.06140095203461513
77,0,400593,occupancy,17,400260,flow,1,0.00013879420033801788,0.002093543803981275,0.08539837775243646
77,0,400593,occupancy,17,400260,flow,2,0.0025217803714125023,0.02380168433606628,0.06774768164586666
77,0,400593,occupancy,17,400260,flow,4,0.0006241680481566018,0.0075571916144521285,0.07669774307796463
77,0,400593,occupancy,17,400260,flow,5,0.0021640100844299206,0.02105049215207669,0.06877765927082667
77,0,400593,occupancy,17,400260,flow,10,0.00019305988498608025,0.0027837740425229194,0.08355860676281074
77,0,400593,occupancy,17,400260,flow,11,0.00489597672148527,0.03981667815665731,0.06311662422752598
77,0,400593,occupancy,19,401795,flow,9,0.005025078792361914,0.040637102925876946,-0.06292907603298574
77,0,400593,speed,1,400125,flow,6,0.0051787586690167035,0.04159445311914225,-0.06271141690325249
77,0,400593,speed,4,400316,flow,8,0.0004828977841230758,0.0061356424335637875,0.07824405302945388
77,0,400593,speed,7,408093,flow,11,0.005451425427477407,0.043330557215643786,0.06233919988377315
77,0,400593,speed,8,401448,flow,9,0.0004893456824219186,0.006199335331562136,0.07816479339766141
77,0,400593,speed,8,401448,flow,12,0.0026001312302570932,0.024392110563975337,0.0675400905449791
77,0,400593,speed,11,405841,flow,4,0.0006078573774215551,0.007417920538025757,0.07685858102248863
77,0,400593,speed,12,404520,flow,8,3.75767689522327e-05,0.0006683064712789019,0.09235310138206793
77,0,400593,speed,13,400183,flow,11,0.0029615994010172954,0.02691230419098594,-0.06665074531278185
77,0,400593,speed,19,401795,flow,9,0.00024913773081872186,0.0034840319499793515,0.08211147072340083
77,1,400125,flow,0,400593,flow,8,0.0058708902884478465,0.04584419886915211,0.06179814488482064
77,1,400125,flow,0,400593,flow,9,0.0001278818004823704,0.0019411432820936056,0.08584933724359904
77,1,400125,flow,1,400125,flow,1,3.9224316894147016e-125,1.7116065553809607e-122,0.49796762555051405
77,1,400125,flow,1,400125,flow,2,5.014223117311909e-17,3.454775736329736e-15,0.18655369660380616
77,1,400125,flow,1,400125,flow,3,8.348015554935172e-06,0.00017498023870606474,0.09977916123622378
