node_index,node_id,feature,start,end,steps,minutes,short_gap_filled
11,405841,speed,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
12,404520,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
12,404520,flow,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
12,404520,flow,2023-12-19 00:05:00,2023-12-22 00:00:00,864,4320,0
12,404520,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
12,404520,occupancy,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
12,404520,occupancy,2023-12-19 00:05:00,2023-12-22 00:00:00,864,4320,0
12,404520,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
12,404520,speed,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
12,404520,speed,2023-12-19 00:05:00,2023-12-22 00:00:00,864,4320,0
13,400183,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
13,400183,flow,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
13,400183,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
13,400183,occupancy,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
13,400183,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
13,400183,speed,2023-12-11 14:45:00,2023-12-11 23:55:00,111,555,0
14,401469,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
14,401469,flow,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
14,401469,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
14,401469,occupancy,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
14,401469,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
14,401469,speed,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
15,401472,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
15,401472,flow,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
15,401472,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
15,401472,occupancy,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
15,401472,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
15,401472,speed,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
16,405838,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
16,405838,flow,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
16,405838,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
16,405838,occupancy,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
16,405838,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
16,405838,speed,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
17,400260,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
17,400260,flow,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
17,400260,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
17,400260,occupancy,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
17,400260,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
17,400260,speed,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
18,404528,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
18,404528,flow,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
18,404528,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
18,404528,occupancy,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
18,404528,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
18,404528,speed,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
19,401795,flow,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
19,401795,flow,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
19,401795,occupancy,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
19,401795,occupancy,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
19,401795,speed,2023-03-12 02:00:00,2023-03-12 02:55:00,12,60,1
19,401795,speed,2023-12-11 14:40:00,2023-12-11 23:55:00,112,560,0
