graph_slot,graph_time,window_start,window_end_exclusive,window_steps,missing_cells,valid_for_pcmci,assigned_graph_slot
62,2023-03-11 00:00:00,2023-03-04 00:00:00,2023-03-11 00:00:00,2016,0,1,62
63,2023-03-12 00:00:00,2023-03-05 00:00:00,2023-03-12 00:00:00,2016,0,1,63
64,2023-03-13 00:00:00,2023-03-06 00:00:00,2023-03-13 00:00:00,2016,0,1,64
65,2023-03-14 00:00:00,2023-03-07 00:00:00,2023-03-14 00:00:00,2016,0,1,65
66,2023-03-15 00:00:00,2023-03-08 00:00:00,2023-03-15 00:00:00,2016,0,1,66
67,2023-03-16 00:00:00,2023-03-09 00:00:00,2023-03-16 00:00:00,2016,0,1,67
68,2023-03-17 00:00:00,2023-03-10 00:00:00,2023-03-17 00:00:00,2016,0,1,68
69,2023-03-18 00:00:00,2023-03-11 00:00:00,2023-03-18 00:00:00,2016,0,1,69
70,2023-03-19 00:00:00,2023-03-12 00:00:00,2023-03-19 00:00:00,2016,0,1,70
71,2023-03-20 00:00:00,2023-03-13 00:00:00,2023-03-20 00:00:00,2016,0,1,71
72,2023-03-21 00:00:00,2023-03-14 00:00:00,2023-03-21 00:00:00,2016,0,1,72
73,2023-03-22 00:00:00,2023-03-15 00:00:00,2023-03-22 00:00:00,2016,0,1,73
74,2023-03-23 00:00:00,2023-03-16 00:00:00,2023-03-23 00:00:00,2016,0,1,74
75,2023-03-24 00:00:00,2023-03-17 00:00:00,2023-03-24 00:00:00,2016,0,1,75
76,2023-03-25 00:00:00,2023-03-18 00:00:00,2023-03-25 00:00:00,2016,0,1,76
77,2023-03-26 00:00:00,2023-03-19 00:00:00,2023-03-26 00:00:00,2016,0,1,77
78,2023-03-27 00:00:00,2023-03-20 00:00:00,2023-03-27 00:00:00,2016,0,1,78
79,2023-03-28 00:00:00,2023-03-21 00:00:00,2023-03-28 00:00:00,2016,0,1,79
80,2023-03-29 00:00:00,2023-03-22 00:00:00,2023-03-29 00:00:00,2016,0,1,80
81,2023-03-30 00:00:00,2023-03-23 00:00:00,2023-03-30 00:00:00,2016,0,1,81
82,2023-03-31 00:00:00,2023-03-24 00:00:00,2023-03-31 00:00:00,2016,0,1,82
83,2023-04-01 00:00:00,2023-03-25 00:00:00,2023-04-01 00:00:00,2016,0,1,83
84,2023-04-02 00:00:00,2023-03-26 00:00:00,2023-04-02 00:00:00,2016,0,1,84
